size,init,speedup
1,N,1.0
2,N,1.7481618690327607
3,N,2.091418182352529
4,N,2.3751597376489983
5,N,2.613452930476107
6,N,2.8128721162314285
7,N,2.9743548722727557
8,N,3.365268429983438
9,N,0.9804062193472778
10,N,0.8067874941672873
1,O,1.0
2,O,1.2618710765498968
3,O,1.435137720752646
4,O,1.7525170446562701
5,O,1.8679873329762053
6,O,1.9070746545551132
7,O,2.1099323297531747
8,O,2.370068232916414
9,O,0.7862472232577861
10,O,0.6274586203459535
