size,init,speedup
0,N,1.0
1,N,1.491916950111142
2,N,1.4008718580739625
3,N,1.4252355824648344
4,N,1.4402251355910947
5,N,1.4756037880736297
0,O,1.0
1,O,1.6439026560862395
2,O,1.5666468818041102
3,O,1.593212004612792
4,O,1.6130478416330687
5,O,1.5721621244397626
